نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,أصحاب سابقون,إضافات,النوع,سنة الاصدار,سعر السيارة بالشيكل
0,4,0,0,0.40409264672813133,130000,1,0,1,1,162,0.6545454545454537,0.0839823884159185
0,4,0,1,0.12693950978187543,99999,2,1,2,2,231,0.2727272727272682,0.008898895571875926
0,4,0,1,0.1454913424780751,99999,0,0,0,0,27,0.836363636363642,0.05084554024074771
1,5,0,1,0.26917022711940636,99999,0,1,0,0,394,0.7454545454545478,0.07397125603671283
0,4,0,0,0.1679784124128626,900000,0,1,0,0,602,0.7272727272727318,0.03893229270949296
1,4,0,0,0.21295255228243762,7,0,0,0,0,270,0.8727272727272739,0.11201355907769439
0,4,0,1,0.1679784124128626,00000000,0,1,0,0,374,0.5454545454545435,0.023915594140684438
0,4,0,1,0.1679784124128626,99999,0,1,0,0,383,0.7272727272727318,0.05895455746790431
0,4,0,0,0.1454913424780751,65000,1,1,1,1,383,0.8181818181818188,0.09899908698472701
1,5,0,1,0.20170901731504387,_,1,1,1,1,270,0.6181818181818217,0.035928952995731255
1,4,0,0,0.21295255228243762,190,0,1,0,0,372,0.7818181818181869,0.0839823884159185
1,5,0,1,0.2579266921520126,99999,0,0,0,0,377,0.5818181818181826,0.035928952995731255
0,4,0,1,0.15673487744546885,99999,0,0,0,0,26,0.34545454545454635,0.021913367664843305
1,4,0,1,0.1679784124128626,-,0,1,0,0,132,0.8181818181818188,0.06796457660918942
0,4,0,1,0.1454913424780751,184000,0,1,0,0,26,0.3090909090909073,0.011902235285637627
0,4,0,1,0.13424780751068136,200,0,1,0,0,22,0.3090909090909073,0.004894442620193655
1,4,0,1,0.21295255228243762,99999,0,1,0,0,24,0.6727272727272767,0.043937858899095794
1,4,0,0,0.21295255228243762,99999,0,1,0,0,279,0.8545454545454579,0.12302480358158271
0,4,0,0,0.10051720260850013,30000,0,0,0,0,424,0.8727272727272739,0.05795344422998374
0,4,0,0,0.1454913424780751,99999,1,1,1,1,374,0.8727272727272739,0.08298127517799793
0,4,1,0,0.1679784124128626,295000,0,1,0,0,340,0.6363636363636377,0.004393886001233371
1,4,0,1,0.1679784124128626,60000,0,1,0,0,390,0.8727272727272739,0.10700799288809155
0,4,0,1,0.15673487744546885,143212,0,0,0,0,186,0.5454545454545435,0.020912254426922735
1,4,0,0,0.21295255228243762,43000,1,1,1,1,92,0.8545454545454579,0.2141271093455923
0,4,0,0,0.1679784124128626,71,0,1,0,0,341,0.836363636363642,0.06596235013334828
0,4,0,0,0.1454913424780751,160000,0,0,0,0,319,0.7636363636363638,0.043937858899095794
1,4,0,0,0.21295255228243762,99999,0,1,0,0,598,0.7090909090909087,0.05394899127830147
0,4,0,0,0.0021362716438048136,4000,2,0,2,2,212,0.890909090909097,0.010400565428756777
0,0,0,1,0.13424780751068136,99999,2,1,2,2,383,0.2727272727272682,0.00289221614435252
1,4,0,0,0.21295255228243762,121000,1,1,1,1,598,0.7454545454545478,0.06496123689542771
0,4,0,0,0.1454913424780751,9900,0,1,0,0,593,0.8727272727272739,0.06696346337126885
1,4,0,1,0.1679784124128626,56000,0,0,0,0,270,0.890909090909097,0.09399352079512417
0,4,0,1,0.11176073757589387,99999,2,0,2,2,231,0.2909090909090913,0.005895555858114222
1,4,0,1,0.1679784124128626,٢٦٠,0,1,0,0,132,0.8000000000000028,0.05595121775414261
0,4,0,1,0.13424780751068136,00000,0,1,0,0,117,0.3090909090909073,0.0063961124770745064
0,4,1,0,0.1679784124128626,0000,0,1,0,0,259,0.5999999999999985,0.0007898783447193279
0,4,0,0,0.1454913424780751,80 الف,0,1,0,0,610,0.7272727272727318,0.04093451918533409
0,4,0,1,0.21295255228243762,200000,1,0,1,1,76,0.49090909090908846,0.023915594140684438
0,4,0,0,0.1454913424780751,60,0,1,0,0,586,0.8545454545454579,0.05895455746790431
0,4,0,0,0.1679784124128626,140000,0,1,0,0,119,0.7272727272727318,0.0374306228526121
1,4,0,0,0.1679784124128626,124000,0,1,0,0,587,0.7454545454545478,0.05394899127830147
0,4,0,2,0.21295255228243762,120000قابل لزيادة,1,0,1,1,364,0.7818181818181869,0.08598461489175963
1,4,0,2,0.23543962221722511,100000,0,1,0,0,429,0.836363636363642,0.11902135174313837
0,4,0,1,0.07803013267371262,90000,0,1,0,0,185,0.6363636363636377,0.020912254426922735
1,5,0,1,0.012817629862828873,99999,0,0,0,0,469,0.5454545454545435,0.028921160330287278
1,4,0,1,0.03530469979761637,99999,1,0,1,1,350,0.6181818181818217,0.1890992783975781
0,4,0,1,0.1679784124128626,99999,0,1,0,0,372,0.5999999999999985,0.034927839757810684
0,0,0,0,0.1679784124128626,99999,0,0,0,0,320,0.7272727272727318,0.02691893385444614
0,4,0,0,0.1454913424780751,000000,1,1,1,1,610,0.7454545454545478,0.04093451918533409
0,4,0,0,0.1679784124128626,99,1,1,1,1,433,0.7636363636363638,0.04343730228013551
0,4,0,0,0.26917022711940636,200000,1,1,1,1,18,0.5454545454545435,0.03192450004404898
0,4,0,0,0.1679784124128626,82000,1,1,1,1,433,0.7454545454545478,0.058454000848944025
1,5,0,1,0.15673487744546885,32123123,0,0,0,0,425,0.7272727272727318,0.002691993496768406
0,0,0,1,0.1454913424780751,120 الف,0,0,0,0,21,0.5818181818181826,0.027419490473406426
1,5,0,1,0.20170901731504387,000000,0,0,0,0,270,0.7636363636363638,0.05394899127830147
1,5,0,1,0.21284011693276367,99999,1,0,1,1,595,0.7090909090909087,0.028921160330287278
0,4,0,0,0.1904654823476501,166000,0,1,0,0,372,0.5636363636363666,0.03693006623365182
1,5,0,1,0.20170901731504387,275000,0,1,0,0,270,0.7272727272727318,0.04894342508869863
0,4,0,1,0.1454913424780751,99999,0,1,0,0,230,0.38181818181817834,0.013403905142518479
0,4,0,0,0.1454913424780751,60000,0,1,0,0,593,0.836363636363642,0.06596235013334828
0,4,0,1,0.1454913424780751,00000,0,0,0,0,27,0.836363636363642,0.052947878040380904
0,4,0,0,0.26917022711940636,50000,1,1,1,1,447,0.8727272727272739,0.16907701363916675
0,4,0,0,0.1904654823476501,99999,2,1,2,2,184,0.5818181818181826,0.021913367664843305
1,4,0,0,0.21295255228243762,82700,0,1,0,0,426,0.8000000000000028,0.08848739798656105
1,4,0,1,0.20170901731504387,99999,0,1,0,0,270,0.7454545454545478,0.05895455746790431
0,4,0,0,0.39284911176073756,123000,1,1,1,1,388,0.7454545454545478,0.12903248412234403
0,4,0,1,0.1454913424780751,120000,0,0,0,0,383,0.7818181818181869,0.07697459575047452
1,4,0,1,0.20170901731504387,500000,0,1,0,0,270,0.7454545454545478,0.06195789718166601
1,4,0,1,0.32538790195637507,18000000,0,0,0,0,48,0.5818181818181826,0.05795344422998374
0,4,0,0,0.1679784124128626,١٥٠,0,1,0,0,602,0.7454545454545478,0.03993340594741352
0,4,0,1,0.13424780751068136,100000,2,1,2,2,22,0.3090909090909073,0.009900008809796492
